4,5,930,942,25
5,930,942,13,25
930,942,13,942,25
942,13,942,13,25
13,942,13,936,25
942,13,936,5,32
13,936,5,942,32
936,5,942,13,25
5,942,13,5,25
942,13,5,5,25
13,5,5,5,25
5,5,5,942,25
5,5,942,930,32
5,942,930,13,32
942,930,13,12,25
930,13,12,936,25
13,12,936,13,32
12,936,13,127,32
936,13,127,191,25
13,127,191,6,32
127,191,6,35,32
191,6,35,6,25
6,35,6,35,25
35,6,35,6,25
218,35,6,35,25
35,6,35,6,32
6,35,6,35,32
35,6,35,35,32
6,35,35,6,32
35,35,6,6,25
35,6,6,35,32
6,6,35,6,32
6,35,6,35,32
35,6,35,35,32
6,35,35,35,32
35,35,35,6,25
35,35,6,3,25
35,6,3,199,32
6,3,199,3,32
3,199,3,3,25
199,3,3,3,32
